Timeline Trace
Generated on: 2021-04-28 02:34:24
Msec since Epoch: 1619577264139
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
17.70677,clGetPlatformIDs|General,START,,,,,,,,,,,0,
17.80304,clGetPlatformIDs|General,END,,,,,,,,,,,0,
17.84295,clGetPlatformIDs|General,START,,,,,,,,,,,1,
17.86892,clGetPlatformIDs|General,END,,,,,,,,,,,1,
17.89873,clGetPlatformInfo|General,START,,,,,,,,,,,2,
17.9255,clGetPlatformInfo|General,END,,,,,,,,,,,2,
17.94754,clGetPlatformInfo|General,START,,,,,,,,,,,3,
17.96953,clGetPlatformInfo|General,END,,,,,,,,,,,3,
18.05846,clGetDeviceIDs|General,START,,,,,,,,,,,4,
18.09021,clGetDeviceIDs|General,END,,,,,,,,,,,4,
18.11138,clGetDeviceIDs|General,START,,,,,,,,,,,5,
18.13271,clGetDeviceIDs|General,END,,,,,,,,,,,5,
18.15903,clRetainDevice|General,START,,,,,,,,,,,6,
18.18218,clRetainDevice|General,END,,,,,,,,,,,6,
18.20295,clRetainDevice|General,START,,,,,,,,,,,7,
18.22373,clRetainDevice|General,END,,,,,,,,,,,7,
18.248,clCreateContext|General,START,,,,,,,,,,,8,
30.35252,clCreateContext|General,END,,,,,,,,,,,8,
311.84867,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
426.47893,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
426.59415,clCreateCommandQueue|General,START,,,,,,,,,,,10,
426.64791,clCreateCommandQueue|General,END,,,,,,,,,,,10,
426.67642,clCreateKernel|General,START,,,,,,,,,,,11,
430.74597,clCreateKernel|General,END,,,,,,,,,,,11,
430.78805,clCreateBuffer|General,START,,,,,,,,,,,12,
441.6844,clCreateBuffer|General,END,,,,,,,,,,,12,
441.71899,clCreateBuffer|General,START,,,,,,,,,,,13,
442.28706,clCreateBuffer|General,END,,,,,,,,,,,13,
442.31374,clCreateBuffer|General,START,,,,,,,,,,,14,
442.75711,clCreateBuffer|General,END,,,,,,,,,,,14,
442.79634,clCreateBuffer|General,START,,,,,,,,,,,15,
443.75542,clCreateBuffer|General,END,,,,,,,,,,,15,
443.78236,clCreateBuffer|General,START,,,,,,,,,,,16,
444.20052,clCreateBuffer|General,END,,,,,,,,,,,16,
444.22656,clCreateBuffer|General,START,,,,,,,,,,,17,
444.78046,clCreateBuffer|General,END,,,,,,,,,,,17,
444.8062,clCreateBuffer|General,START,,,,,,,,,,,18,
445.25888,clCreateBuffer|General,END,,,,,,,,,,,18,
445.28518,clCreateBuffer|General,START,,,,,,,,,,,19,
446.18635,clCreateBuffer|General,END,,,,,,,,,,,19,
446.21242,clCreateBuffer|General,START,,,,,,,,,,,20,
446.63457,clCreateBuffer|General,END,,,,,,,,,,,20,
446.6608,clCreateBuffer|General,START,,,,,,,,,,,21,
447.2215,clCreateBuffer|General,END,,,,,,,,,,,21,
447.24706,clCreateBuffer|General,START,,,,,,,,,,,22,
447.75767,clCreateBuffer|General,END,,,,,,,,,,,22,
447.78446,clCreateBuffer|General,START,,,,,,,,,,,23,
448.70438,clCreateBuffer|General,END,,,,,,,,,,,23,
448.7388,clEnqueueMapBuffer|187651875189104,START,,,,,,,,,,,24,
449.45461,clEnqueueMapBuffer|187651875189104,END,,,,,,,,,,,24,
449.48611,clEnqueueMapBuffer|187651875189104,START,,,,,,,,,,,25,
449.55743,clEnqueueMapBuffer|187651875189104,END,,,,,,,,,,,25,
