Timeline Trace
Generated on: 2021-04-28 02:28:32
Msec since Epoch: 1619576912747
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
89.65842,clGetPlatformIDs|General,START,,,,,,,,,,,0,
89.75652,clGetPlatformIDs|General,END,,,,,,,,,,,0,
89.8004,clGetPlatformIDs|General,START,,,,,,,,,,,1,
89.82608,clGetPlatformIDs|General,END,,,,,,,,,,,1,
89.85647,clGetPlatformInfo|General,START,,,,,,,,,,,2,
89.88289,clGetPlatformInfo|General,END,,,,,,,,,,,2,
89.9041,clGetPlatformInfo|General,START,,,,,,,,,,,3,
89.92606,clGetPlatformInfo|General,END,,,,,,,,,,,3,
90.01648,clGetDeviceIDs|General,START,,,,,,,,,,,4,
90.04853,clGetDeviceIDs|General,END,,,,,,,,,,,4,
90.07007,clGetDeviceIDs|General,START,,,,,,,,,,,5,
90.09103,clGetDeviceIDs|General,END,,,,,,,,,,,5,
90.11689,clRetainDevice|General,START,,,,,,,,,,,6,
90.14021,clRetainDevice|General,END,,,,,,,,,,,6,
90.16121,clRetainDevice|General,START,,,,,,,,,,,7,
90.18197,clRetainDevice|General,END,,,,,,,,,,,7,
90.20709,clCreateContext|General,START,,,,,,,,,,,8,
102.36975,clCreateContext|General,END,,,,,,,,,,,8,
381.50154,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
496.05979,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
496.1755,clCreateCommandQueue|General,START,,,,,,,,,,,10,
496.22783,clCreateCommandQueue|General,END,,,,,,,,,,,10,
496.25546,clCreateKernel|General,START,,,,,,,,,,,11,
500.14718,clCreateKernel|General,END,,,,,,,,,,,11,
500.18571,clCreateBuffer|General,START,,,,,,,,,,,12,
511.14377,clCreateBuffer|General,END,,,,,,,,,,,12,
511.18084,clCreateBuffer|General,START,,,,,,,,,,,13,
511.76796,clCreateBuffer|General,END,,,,,,,,,,,13,
511.79487,clCreateBuffer|General,START,,,,,,,,,,,14,
512.24578,clCreateBuffer|General,END,,,,,,,,,,,14,
512.28667,clCreateBuffer|General,START,,,,,,,,,,,15,
513.20291,clCreateBuffer|General,END,,,,,,,,,,,15,
513.22941,clCreateBuffer|General,START,,,,,,,,,,,16,
513.64463,clCreateBuffer|General,END,,,,,,,,,,,16,
513.6703,clCreateBuffer|General,START,,,,,,,,,,,17,
514.23221,clCreateBuffer|General,END,,,,,,,,,,,17,
514.25836,clCreateBuffer|General,START,,,,,,,,,,,18,
514.75682,clCreateBuffer|General,END,,,,,,,,,,,18,
514.78313,clCreateBuffer|General,START,,,,,,,,,,,19,
515.65761,clCreateBuffer|General,END,,,,,,,,,,,19,
515.68385,clCreateBuffer|General,START,,,,,,,,,,,20,
516.1096,clCreateBuffer|General,END,,,,,,,,,,,20,
516.13596,clCreateBuffer|General,START,,,,,,,,,,,21,
516.73743,clCreateBuffer|General,END,,,,,,,,,,,21,
516.76342,clCreateBuffer|General,START,,,,,,,,,,,22,
517.20068,clCreateBuffer|General,END,,,,,,,,,,,22,
517.22646,clCreateBuffer|General,START,,,,,,,,,,,23,
518.14988,clCreateBuffer|General,END,,,,,,,,,,,23,
518.1868,clEnqueueMapBuffer|187651712434544,START,,,,,,,,,,,24,
518.89086,clEnqueueMapBuffer|187651712434544,END,,,,,,,,,,,24,
518.92521,clEnqueueMapBuffer|187651712434544,START,,,,,,,,,,,25,
518.99362,clEnqueueMapBuffer|187651712434544,END,,,,,,,,,,,25,
519.02165,clEnqueueMapBuffer|187651712434544,START,,,,,,,,,,,26,
519.08912,clEnqueueMapBuffer|187651712434544,END,,,,,,,,,,,26,
519.1171,clEnqueueMapBuffer|187651712434544,START,,,,,,,,,,,27,
519.17771,clEnqueueMapBuffer|187651712434544,END,,,,,,,,,,,27,
519.20481,clEnqueueMapBuffer|187651712434544,START,,,,,,,,,,,28,
519.26441,clEnqueueMapBuffer|187651712434544,END,,,,,,,,,,,28,
519.29147,clEnqueueMapBuffer|187651712434544,START,,,,,,,,,,,29,
519.36033,clEnqueueMapBuffer|187651712434544,END,,,,,,,,,,,29,
519.38666,clEnqueueMapBuffer|187651712434544,START,,,,,,,,,,,30,
519.44315,clEnqueueMapBuffer|187651712434544,END,,,,,,,,,,,30,
519.48443,clEnqueueMapBuffer|187651712434544,START,,,,,,,,,,,31,
519.54203,clEnqueueMapBuffer|187651712434544,END,,,,,,,,,,,31,
519.56823,clEnqueueMapBuffer|187651712434544,START,,,,,,,,,,,32,
519.62537,clEnqueueMapBuffer|187651712434544,END,,,,,,,,,,,32,
519.65134,clEnqueueMapBuffer|187651712434544,START,,,,,,,,,,,33,
519.70782,clEnqueueMapBuffer|187651712434544,END,,,,,,,,,,,33,
519.73403,clEnqueueMapBuffer|187651712434544,START,,,,,,,,,,,34,
