Profile Summary
Generated on: 2021-04-28 02:25:49
Msec since Epoch: 1619576749793
Target platform: 
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 
Target devices: edge-0
Flow mode: System Run

OpenCL API Calls
API Name,Number Of Calls,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
clCreateProgramWithBinary,1,114.907,114.907,114.907,114.907,
clReleaseMemObject,1548,71.9981,0.02115,0.0465104,0.73203,
clEnqueueTask,256,70.4333,0.23555,0.27513,0.94413,
clEnqueueMigrateMemObjects,512,54.4865,0.07157,0.106419,0.90288,
clReleaseEvent,1536,42.1177,0.02038,0.0274204,0.697,
clRetainMemObject,1536,41.0983,0.02098,0.0267567,0.7454,
clSetKernelArg,768,20.405,0.02088,0.026569,0.24688,
clRetainEvent,768,19.2838,0.0206,0.0251091,0.12841,
clCreateBuffer,12,17.5097,0.43329,1.45914,10.7961,
clFinish,1,16.0003,16.0003,16.0003,16.0003,
clCreateContext,1,12.1911,12.1911,12.1911,12.1911,
clReleaseProgram,1,9.22213,9.22213,9.22213,9.22213,
clCreateKernel,1,3.91524,3.91524,3.91524,3.91524,
clEnqueueMapBuffer,12,1.35456,0.0536,0.11288,0.72243,
clReleaseKernel,1,0.47821,0.47821,0.47821,0.47821,
clReleaseContext,1,0.35684,0.35684,0.35684,0.35684,
clGetPlatformIDs,2,0.1538,0.025,0.0769,0.1288,
clGetDeviceIDs,2,0.0547,0.02134,0.02735,0.03336,
clCreateCommandQueue,1,0.0535,0.0535,0.0535,0.0535,
clReleaseDevice,2,0.05272,0.02175,0.02636,0.03097,
clGetPlatformInfo,2,0.04916,0.02229,0.02458,0.02687,
clReleaseCommandQueue,1,0.0451,0.0451,0.0451,0.0451,
clRetainDevice,2,0.04458,0.02098,0.02229,0.0236,


Kernel Execution
Kernel,Number Of Enqueues,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),
mmult_fpga,256,2492.23,2.21865,9.73526,16.8905,


Compute Unit Utilization
Device,Compute Unit,Kernel,Global Work Size,Local Work Size,Number Of Calls,Dataflow Execution,Max Overlapping Executions,Dataflow Acceleration,Total Time (ms),Minimum Time (ms),Average Time (ms),Maximum Time (ms),Clock Frequency (MHz),


Data Transfer: Host to Global Memory
Context:Number of Devices,Transfer Type,Number Of Buffer Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Buffer Size (KB),Total Time (ms),Average Time (ms),
context0:1,READ,256,5667.933601,59.040975,532.48,24.050190,0.093946,
context0:1,WRITE,256,7467.776065,77.789334,1064.96,36.507490,0.142607,


Data Transfer: Kernels to Global Memory
Device,Compute Unit/Port Name,Kernel Arguments,Memory Resources,Transfer Type,Number Of Transfers,Transfer Rate (MB/s),Average Bandwidth Utilization (%),Average Size (KB),Average Latency (ns),


Top Data Transfer: Kernels to Global Memory
Device,Compute Unit,Number of Transfers,Average Bytes per Transfer,Transfer Efficiency (%),Total Data Transfer (MB),Total Write (MB),Total Read (MB),Total Transfer Rate (MB/s),


Top Kernel Execution
Kernel Instance Address,Kernel,Context ID,Command Queue ID,Device,Start Time (ms),Duration (ms),Global Work Size,Local Work Size,
187651361433568,mmult_fpga,0,0,edge-0,1046.99,16.8905,1:1:1,1:1:1,
187651361433568,mmult_fpga,0,0,edge-0,1045.06,16.8178,1:1:1,1:1:1,
187651361433568,mmult_fpga,0,0,edge-0,1043.04,16.778,1:1:1,1:1:1,
187651361433568,mmult_fpga,0,0,edge-0,1061.32,16.7468,1:1:1,1:1:1,
187651361433568,mmult_fpga,0,0,edge-0,1041.11,16.7042,1:1:1,1:1:1,
187651361433568,mmult_fpga,0,0,edge-0,1059.34,16.7007,1:1:1,1:1:1,
187651361433568,mmult_fpga,0,0,edge-0,1039.09,16.6988,1:1:1,1:1:1,
187651361433568,mmult_fpga,0,0,edge-0,1057.41,16.6098,1:1:1,1:1:1,
187651361433568,mmult_fpga,0,0,edge-0,1037.16,16.5884,1:1:1,1:1:1,
187651361433568,mmult_fpga,0,0,edge-0,1055.41,16.582,1:1:1,1:1:1,


Top Memory Writes: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Writing Rate(MB/s),
1617952768,0,0,891.995,0.752460,1064.96,1415.304468,
1611661312,0,0,556.4,0.331780,1064.96,3209.837844,
1614807040,0,0,598.918,0.272450,1064.96,3908.827308,
1614807040,0,0,654.257,0.225340,1064.96,4726.014023,
1621098496,0,0,665.524,0.223160,1064.96,4772.181395,
1621098496,0,0,563.304,0.219020,1064.96,4862.386997,
1611661312,0,0,888.035,0.210940,1064.96,5048.639424,
1611661312,0,0,856.736,0.202750,1064.96,5252.577065,
1621098496,0,0,626.167,0.184810,1064.96,5762.458741,
1614807040,0,0,559.271,0.182610,1064.96,5831.882153,


Top Memory Reads: Host to Global Memory
Buffer Address,Context ID,Command Queue ID,Start Time (ms),Duration (ms),Buffer Size (KB),Reading Rate(MB/s),
1613758464,0,0,860.909,0.727870,532.48,731.559207,
1616904192,0,0,806.088,0.357850,532.48,1487.997764,
1613758464,0,0,974.643,0.180950,532.48,2942.691351,
1613758464,0,0,869.077,0.157280,532.48,3385.554425,
1623195648,0,0,940.138,0.125930,532.48,4228.380847,
1623195648,0,0,663.861,0.123250,532.48,4320.324544,
1620049920,0,0,856.853,0.122240,532.48,4356.020942,
1620049920,0,0,726.885,0.120580,532.48,4415.989385,
1613758464,0,0,600.912,0.119910,532.48,4440.663831,
1620049920,0,0,800.004,0.119630,532.48,4451.057427,


Guidance Parameters
Parameter,Element,Value,
DEVICE_EXEC_TIME,edge-0,520.638790,
CU_CALLS,edge-0|mmult_fpga_1,256,
NUM_MONITORS,edge-0|XCL_PERF_MON_ACCEL|0,0,
NUM_MONITORS,edge-0|XCL_PERF_MON_MEMORY|0,0,
NUM_MONITORS,edge-0|XCL_PERF_MON_STR|0,0,
MIGRATE_MEM,host,512,
MEMORY_USAGE,edge-0|HP0,1,
MEMORY_USAGE,edge-0|HP1,0,
MEMORY_USAGE,edge-0|HP2,0,
MEMORY_USAGE,edge-0|HP3,0,
MEMORY_USAGE,edge-0|HPC0,0,
MEMORY_USAGE,edge-0|HPC1,0,
PLRAM_DEVICE,all,1,
HBM_DEVICE,all,0,
KDMA_DEVICE,all,0,
P2P_DEVICE,all,0,
P2P_HOST_TRANSFERS,host,0,
PORT_BIT_WIDTH,mmult_fpga_1/m_axi_aximm1,512,
PORT_BIT_WIDTH,mmult_fpga_1/m_axi_aximm2,512,
KERNEL_COUNT,mmult_fpga,1,
OBJECTS_RELEASED,all,1,
TRACE_MEMORY,all,FIFO,
CU_CONTEXT_EN,all,0,
MAX_PARALLEL_KERNEL_ENQUEUES,mmult_fpga,9,
COMMAND_QUEUE_OOO,187651361452384,1,
KERNEL_BUFFER_INFO,mmult_fpga|A|HP0|1,532480,
KERNEL_BUFFER_INFO,mmult_fpga|B|HP0|1,532480,
KERNEL_BUFFER_INFO,mmult_fpga|C|HP0|1,532480,
MEMORY_TYPE_BIT_WIDTH,edge-0|DDR,512,
MEMORY_TYPE_BIT_WIDTH,edge-0|HBM,256,
MEMORY_TYPE_BIT_WIDTH,edge-0|PLRAM,512,
XRT_INI_SETTING,aie_trace_buffer_size,8M,
XRT_INI_SETTING,continuous_trace,0,
XRT_INI_SETTING,continuous_trace_interval_ms,10,
XRT_INI_SETTING,data_transfer_trace,coarse,
XRT_INI_SETTING,launch_waveform,batch,
XRT_INI_SETTING,lop_trace,0,
XRT_INI_SETTING,power_profile,0,
XRT_INI_SETTING,profile,1,
XRT_INI_SETTING,stall_trace,all,
XRT_INI_SETTING,timeline_trace,1,
XRT_INI_SETTING,trace_buffer_size,4095M,
XRT_INI_SETTING,verbosity,4,
BUFFER_RD_ACTIVE_TIME_MS,all,24.0502,
BUFFER_WR_ACTIVE_TIME_MS,all,36.5075,
BUFFER_TX_ACTIVE_TIME_MS,all,521.857,
APPLICATION_RUN_TIME_MS,all,1124.38,
TOTAL_KERNEL_RUN_TIME_MS,all,520.639,


