Timeline Trace
Generated on: 2021-04-28 02:25:49
Msec since Epoch: 1619576749793
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
87.52156,clGetPlatformIDs|General,START,,,,,,,,,,,0,
87.65036,clGetPlatformIDs|General,END,,,,,,,,,,,0,
87.69482,clGetPlatformIDs|General,START,,,,,,,,,,,1,
87.71982,clGetPlatformIDs|General,END,,,,,,,,,,,1,
87.75081,clGetPlatformInfo|General,START,,,,,,,,,,,2,
87.77768,clGetPlatformInfo|General,END,,,,,,,,,,,2,
87.79904,clGetPlatformInfo|General,START,,,,,,,,,,,3,
87.82133,clGetPlatformInfo|General,END,,,,,,,,,,,3,
87.91278,clGetDeviceIDs|General,START,,,,,,,,,,,4,
87.94614,clGetDeviceIDs|General,END,,,,,,,,,,,4,
87.96879,clGetDeviceIDs|General,START,,,,,,,,,,,5,
87.99013,clGetDeviceIDs|General,END,,,,,,,,,,,5,
88.01673,clRetainDevice|General,START,,,,,,,,,,,6,
88.04033,clRetainDevice|General,END,,,,,,,,,,,6,
88.06188,clRetainDevice|General,START,,,,,,,,,,,7,
88.08286,clRetainDevice|General,END,,,,,,,,,,,7,
88.10743,clCreateContext|General,START,,,,,,,,,,,8,
100.29855,clCreateContext|General,END,,,,,,,,,,,8,
375.88208,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
490.78904,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
490.90459,clCreateCommandQueue|General,START,,,,,,,,,,,10,
490.95809,clCreateCommandQueue|General,END,,,,,,,,,,,10,
490.9866,clCreateKernel|General,START,,,,,,,,,,,11,
494.90184,clCreateKernel|General,END,,,,,,,,,,,11,
494.94278,clCreateBuffer|General,START,,,,,,,,,,,12,
505.7389,clCreateBuffer|General,END,,,,,,,,,,,12,
505.77036,clCreateBuffer|General,START,,,,,,,,,,,13,
506.39563,clCreateBuffer|General,END,,,,,,,,,,,13,
506.42279,clCreateBuffer|General,START,,,,,,,,,,,14,
506.85608,clCreateBuffer|General,END,,,,,,,,,,,14,
506.8938,clCreateBuffer|General,START,,,,,,,,,,,15,
507.82312,clCreateBuffer|General,END,,,,,,,,,,,15,
507.84978,clCreateBuffer|General,START,,,,,,,,,,,16,
508.30317,clCreateBuffer|General,END,,,,,,,,,,,16,
508.32926,clCreateBuffer|General,START,,,,,,,,,,,17,
508.88458,clCreateBuffer|General,END,,,,,,,,,,,17,
508.91074,clCreateBuffer|General,START,,,,,,,,,,,18,
509.34945,clCreateBuffer|General,END,,,,,,,,,,,18,
509.37574,clCreateBuffer|General,START,,,,,,,,,,,19,
510.27168,clCreateBuffer|General,END,,,,,,,,,,,19,
