Timeline Trace
Generated on: 2021-04-28 02:52:55
Msec since Epoch: 1619578375557
Target platform: Xilinx
Tool version: 2020.2
XRT build version: 2.8.0
Build version branch: 2020.2
Build version hash: f19a872233fbfe2eb933f25fa3d9a780ced774e5
Build version date: N/A 


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
60.50825,clGetPlatformIDs|General,START,,,,,,,,,,,0,
60.63038,clGetPlatformIDs|General,END,,,,,,,,,,,0,
60.67785,clGetPlatformIDs|General,START,,,,,,,,,,,1,
60.70325,clGetPlatformIDs|General,END,,,,,,,,,,,1,
60.73427,clGetPlatformInfo|General,START,,,,,,,,,,,2,
60.76117,clGetPlatformInfo|General,END,,,,,,,,,,,2,
60.78332,clGetPlatformInfo|General,START,,,,,,,,,,,3,
60.80532,clGetPlatformInfo|General,END,,,,,,,,,,,3,
60.91843,clGetDeviceIDs|General,START,,,,,,,,,,,4,
60.95239,clGetDeviceIDs|General,END,,,,,,,,,,,4,
60.98892,clGetDeviceIDs|General,START,,,,,,,,,,,5,
61.01143,clGetDeviceIDs|General,END,,,,,,,,,,,5,
61.03808,clRetainDevice|General,START,,,,,,,,,,,6,
61.06171,clRetainDevice|General,END,,,,,,,,,,,6,
61.0829,clRetainDevice|General,START,,,,,,,,,,,7,
61.10353,clRetainDevice|General,END,,,,,,,,,,,7,
61.12909,clCreateContext|General,START,,,,,,,,,,,8,
73.29492,clCreateContext|General,END,,,,,,,,,,,8,
352.05353,clCreateProgramWithBinary|General,START,,,,,,,,,,,9,
462.27983,clCreateProgramWithBinary|General,END,,,,,,,,,,,9,
462.39632,clCreateCommandQueue|General,START,,,,,,,,,,,10,
462.45165,clCreateCommandQueue|General,END,,,,,,,,,,,10,
462.48011,clCreateKernel|General,START,,,,,,,,,,,11,
466.52845,clCreateKernel|General,END,,,,,,,,,,,11,
466.57042,clCreateBuffer|General,START,,,,,,,,,,,12,
477.21207,clCreateBuffer|General,END,,,,,,,,,,,12,
477.26238,clCreateBuffer|General,START,,,,,,,,,,,13,
477.8586,clCreateBuffer|General,END,,,,,,,,,,,13,
477.88691,clCreateBuffer|General,START,,,,,,,,,,,14,
478.36136,clCreateBuffer|General,END,,,,,,,,,,,14,
478.40315,clCreateBuffer|General,START,,,,,,,,,,,15,
479.34676,clCreateBuffer|General,END,,,,,,,,,,,15,
479.37409,clCreateBuffer|General,START,,,,,,,,,,,16,
479.79165,clCreateBuffer|General,END,,,,,,,,,,,16,
479.81778,clCreateBuffer|General,START,,,,,,,,,,,17,
480.37925,clCreateBuffer|General,END,,,,,,,,,,,17,
480.40543,clCreateBuffer|General,START,,,,,,,,,,,18,
480.87961,clCreateBuffer|General,END,,,,,,,,,,,18,
480.90566,clCreateBuffer|General,START,,,,,,,,,,,19,
481.7961,clCreateBuffer|General,END,,,,,,,,,,,19,
481.82254,clCreateBuffer|General,START,,,,,,,,,,,20,
482.23701,clCreateBuffer|General,END,,,,,,,,,,,20,
482.26296,clCreateBuffer|General,START,,,,,,,,,,,21,
482.88844,clCreateBuffer|General,END,,,,,,,,,,,21,
482.91476,clCreateBuffer|General,START,,,,,,,,,,,22,
483.38618,clCreateBuffer|General,END,,,,,,,,,,,22,
